               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066779,            0.032723,            0.051442,             0.50695,             0.41142,             0.41932,             0.19653,            0.055016,            0.015918,            0.023719,            0.070116,           0.0033205,           0.0033205
                   1,            0.053463,            0.028597,            0.030553,             0.60381,             0.45188,             0.49976,             0.24584,            0.052557,            0.015074,            0.020183,            0.040083,           0.0066209,           0.0066209
                   2,            0.053955,            0.027907,             0.03014,             0.51404,              0.4218,             0.43463,             0.19526,            0.055027,            0.015496,            0.024045,            0.010017,           0.0098883,           0.0098883
                   3,            0.054354,             0.02815,            0.030688,             0.57029,              0.4624,             0.48705,             0.23808,            0.052576,            0.015299,            0.020891,           0.0098515,           0.0098515,           0.0098515
                   4,            0.052687,            0.027101,            0.029817,             0.58623,             0.46126,             0.49621,             0.24838,            0.052269,            0.015392,            0.020797,           0.0098515,           0.0098515,           0.0098515
                   5,            0.052976,            0.027638,            0.028745,              0.6026,             0.47676,             0.51858,             0.25641,            0.051328,            0.014974,              0.0197,            0.009802,            0.009802,            0.009802
                   6,            0.051695,            0.027014,            0.027685,             0.59154,             0.49614,             0.52788,             0.26824,            0.050956,            0.014864,            0.018969,           0.0097525,           0.0097525,           0.0097525
                   7,            0.051614,            0.027058,            0.028063,             0.61705,             0.49615,             0.53852,             0.27364,            0.050132,            0.014668,            0.018952,            0.009703,            0.009703,            0.009703
                   8,            0.050891,            0.026713,            0.027136,             0.63647,              0.5082,              0.5493,             0.28424,             0.04936,            0.014743,            0.019095,           0.0096535,           0.0096535,           0.0096535
                   9,            0.051029,            0.026617,            0.026263,             0.66443,             0.50915,             0.57799,              0.3049,            0.049149,            0.014489,            0.017517,            0.009604,            0.009604,            0.009604
